id, id2,Title,Author,Genre,Length,Published_Year,Revenue_in_million,Webpage_link,Image_link
102,107,Ashita no Joe,Ikki Kajiwara,Shōnen,20,1968,20.0,http://mangapark.me/manga/ashita-no-joe,http://2.c.mpcdn.net/11959/1/180.jpg
103,108,Assassination Classroom,Yūsei Matsui,Shōnen,21,2012,20.0,http://mangapark.me/manga/assassination-classroom,http://2.c.mpcdn.net/11965/17/180.jpg
104,109,Gantz,Hiroya Oku,Seinen,37,2000,20.0,http://mangapark.me/manga/gantz,http://2.c.mpcdn.net/21569/1/180.jpg
105,110,Ginga Legend Weed,Yoshihiro Takahashi,Seinen,90,1999,20.0,http://mangapark.me/manga/ginga-legend-weed,http://2.c.mpcdn.net/356512/1/180.jpg
106,111,Hell Teacher Nūbē,Shō Makura,Shōnen,31,1993,20.0,http://mangapark.me/manga/hell-teacher-nube,http://2.c.mpcdn.net/13960/3/180.jpg
107,112,Kaiji,Nobuyuki Fukumoto,Seinen,49,1996,20.0,http://mangapark.me/manga/kaiji,http://2.c.mpcdn.net/18168/1/180.jpg
108,113,Kimagure Orange Road,Izumi Matsumoto,Shōnen,18,1984,20.0,http://mangapark.me/manga/kimagure-orange-road,http://2.c.mpcdn.net/14818/1/180.jpg
109,114,Kimi ni Todoke,Karuho Shiina,Shōjo,23,2005,20.0,http://mangapark.me/manga/kimi-ni-todoke,http://2.c.mpcdn.net/14839/9/180.jpg
110,115,Magi: The Labyrinth of Magic,Shinobu Ohtaka,Shōnen,32,2009,20.0,http://mangapark.me/manga/magi-the-labyrinth-of-magic,http://2.c.mpcdn.net/30789/1/180.jpg
111,116,Monster,Naoki Urasawa,Seinen,18,1994,20.0,http://mangapark.me/manga/monster,http://2.c.mpcdn.net/15843/2/180.jpg
112,117,Negima! Magister Negi Magi,Ken Akamatsu,Shōnen,38,2003,20.0,http://mangapark.me/manga/mahou-sensei-negima,http://2.c.mpcdn.net/15468/1/180.jpg
113,118,Oh My Goddess!,Kōsuke Fujishima,Seinen,48,1988,20.0,http://mangapark.me/manga/oh-my-goddess,http://2.c.mpcdn.net/11532/2/180.jpg
114,119,Shounen Ashibe,Hiromi Morishita,Seinen,8,1988,20.0,http://mangapark.me/manga/shonen-ashibe-go-go-goma-chan-hiromi-morishita,http://2.c.mpcdn.net/358925/1/180.jpg
115,120,The Rose of Versailles,Riyoko Ikeda,Shōjo,10,1972,20.0,http://mangapark.me/manga/the-rose-of-versailles,http://2.c.mpcdn.net/18795/1/180.jpg
116,121,The Seven Deadly Sins,Nakaba Suzuki,Shōnen,24,2012,20.0,http://mangapark.me/manga/the-seven-deadly-sins,http://2.c.mpcdn.net/22988/2/180.jpg
117,122,Sukeban Deka,Shinji Wada,Shōjo,22,1976,20.0,http://mangapark.me/manga/sukeban-deka,http://2.c.mpcdn.net/22143/1/180.jpg
118,123,Tokyo Daigaku Monogatari,Tatsuya Egawa,Seinen,34,1992,20.0,http://mangapark.me/manga/tokyo-daigaku-monogatari,http://h.s.mangapark.me/img/no-cover.jpg
119,124,Tokyo Ghoul,Sui Ishida,Seinen,23,2011,20.0,http://mangapark.me/manga/tokyo-ghoul,http://2.c.mpcdn.net/23454/20/180.jpg
120,125,Toriko,Mitsutoshi Shimabukuro,Shōnen,43,2008,20.0,http://mangapark.me/manga/toriko,http://2.c.mpcdn.net/18268/18/180.jpg
121,126,Tsubasa: Reservoir Chronicle,Clamp,Shōnen,28,2003,20.0,http://mangapark.me/manga/tsubasa-reservoir-chronicle,http://2.c.mpcdn.net/18593/1/180.jpg
