city,date,fahrenheit
London,9 Feb,36
Madrid,9 Feb,42
Montreal,9 Feb,8
Moscow,9 Feb,14
NewDelhi,9 Feb,60
NewYork,9 Feb,32
Paris,9 Feb,38
RiodeJaneiro,9 Feb,81
SanFrancisco,9 Feb,61
Seattle,9 Feb,48
Shanghai,9 Feb,38
Singapore,9 Feb,84
Sydney,9 Feb,80
Tokyo,9 Feb,36
Toronto,9 Feb,18
Vancouver,9 Feb,38
Bangkok,10 Feb,84
Beijing,10 Feb,32
Boston,10 Feb,18
BuenosAires,10 Feb,77
London,10 Feb,36
Madrid,10 Feb,38
Montreal,10 Feb,6
Moscow,10 Feb,24
NewDelhi,10 Feb,60
NewYork,10 Feb,26
Paris,10 Feb,34
RiodeJaneiro,10 Feb,82
SanFrancisco,10 Feb,57
Seattle,10 Feb,44
Shanghai,10 Feb,38
Singapore,10 Feb,84
Sydney,10 Feb,89
Tokyo,10 Feb,42
Toronto,10 Feb,24
Vancouver,10 Feb,40
Bangkok,11 Feb,82
Beijing,11 Feb,34
Boston,11 Feb,23
BuenosAires,11 Feb,74
London,11 Feb,35
Madrid,11 Feb,42
Montreal,11 Feb,10
Moscow,11 Feb,27
NewDelhi,11 Feb,60
NewYork,11 Feb,39
Paris,11 Feb,32
RiodeJaneiro,11 Feb,85
SanFrancisco,11 Feb,53
Seattle,11 Feb,42
Shanghai,11 Feb,40
Singapore,11 Feb,82
Sydney,11 Feb,87
Tokyo,11 Feb,40
Toronto,11 Feb,34
Vancouver,11 Feb,41
Bangkok,12 Feb,78
Beijing,12 Feb,34
Boston,12 Feb,27
BuenosAires,12 Feb,70
London,12 Feb,38
Madrid,12 Feb,46
Montreal,12 Feb,16
Moscow,12 Feb,20
NewDelhi,12 Feb,62
NewYork,12 Feb,35
Paris,12 Feb,38
RiodeJaneiro,12 Feb,86
SanFrancisco,12 Feb,54
Seattle,12 Feb,42
Shanghai,12 Feb,42
Singapore,12 Feb,82
Sydney,12 Feb,76
Tokyo,12 Feb,42
Toronto,12 Feb,30
Vancouver,12 Feb,43
Bangkok,13 Feb,76
Beijing,13 Feb,37
Boston,13 Feb,29
BuenosAires,13 Feb,72
London,13 Feb,44
Madrid,13 Feb,50
Montreal,13 Feb,22
Moscow,13 Feb,16
NewDelhi,13 Feb,62
NewYork,13 Feb,35
Paris,13 Feb,42
RiodeJaneiro,13 Feb,86
SanFrancisco,13 Feb,55
Seattle,13 Feb,45
Shanghai,13 Feb,48
Singapore,13 Feb,80
Sydney,13 Feb,70
Tokyo,13 Feb,43
Toronto,13 Feb,28
Vancouver,13 Feb,42
