id, id2,Title,Author,Genre,Length,Published_Year,Revenue_in_million,Webpage_link,Image_link
82,86,Baribari Legend,Shuichi Shigeno,Shōnen,38,1983,26.0,http://mangapark.me/manga/baribari-legend,http://static.mangapark.me/img/no-cover.jpg
83,87,Futari Ecchi,Katsu Aki,Seinen,69,1997,26.0,http://mangapark.me/manga/futari-ecchi,http://file-thumb.mpcdn.net/2897/3/180.jpg
84,88,Sakigake!! Otokojuku,Akira Miyashita,Shōnen,34,1985,26.0,http://mangapark.me/manga/sakigake-otokojuku,http://file-thumb.mpcdn.net/8511/2/180.jpg
85,89,Shaman King,Hiroyuki Takei,Shōnen,32,1998,26.0,http://mangapark.me/manga/shaman-king,http://file-thumb.mpcdn.net/8862/2/180.jpg
86,90,Angel Heart,Tsukasa Hojo,Seinen,47,2001,25.0,http://mangapark.me/manga/angel-heart,http://file-thumb.mpcdn.net/693/1/180.jpg
87,91,Boys Be...,Masahiro Itabashi,Shōnen,32,1991,25.0,http://mangapark.me/manga/boys-be,http://file-thumb.mpcdn.net/1471/1/180.jpg
88,92,Hikaru no Go,Yumi Hotta,Shōnen,23,1998,25.0,http://mangapark.me/manga/hikaru-no-go,http://file-thumb.mpcdn.net/3754/1/180.jpg
89,93,Maison Ikkoku,Rumiko Takahashi,Seinen,15,1980,25.0,http://mangapark.me/manga/maison-ikkoku,http://file-thumb.mpcdn.net/6080/1/180.jpg
90,94,Miyuki,Mitsuru Adachi,Shōnen,12,1980,25.0,http://mangapark.me/manga/miyuki,http://file-thumb.mpcdn.net/6505/1/180.jpg
91,95,Seito Shokun!,Yoko Shoji,Shōjo,65,1977,25.0,http://mangapark.me/manga/seito-shokun,http://file-thumb.mpcdn.net/8723/2/180.jpg
92,96,Tsuribaka Nisshi,Jūzō Yamasaki,Seinen,91,1979,25.0,http://mangapark.me/manga/tsuribaka-nisshi,http://static.mangapark.me/img/no-cover.jpg
93,97,Ace of Diamond,Yuji Terajima,Shōnen,47,2006,23.0,http://mangapark.me/manga/ace-of-diamond,http://file-thumb.mpcdn.net/2082/8/180.jpg
94,98,Haikyū!!,Haruichi Furudate,Shōnen,24,2012,23.0,http://mangapark.me/manga/haikyu,http://file-thumb.mpcdn.net/3351/1/180.jpg
95,100,D.Gray-man,Katsura Hoshino,Shōnen,25,2004,22.5,http://mangapark.me/manga/dgray-man,http://file-thumb.mpcdn.net/12968/3/180.jpg
96,101,Abu-san,Shinji Mizushima,Seinen,107,1973,22.0,http://mangapark.me/manga/abu-san,http://static.mangapark.me/img/no-cover.jpg
97,102,Black Butler,Yana Toboso,Shōnen,24,2006,22.0,http://mangapark.me/manga/black-butler,http://file-thumb.mpcdn.net/5536/10/180.jpg
98,103,Patalliro!,Mineo Maya,Shōjo,94,1979,22.0,http://mangapark.me/manga/patalliro,http://file-thumb.mpcdn.net/7710/1/180.jpg
99,104,Zatch Bell!,Makoto Raiku,Shōnen,33,2001,22.0,http://mangapark.me/manga/zatch-bell,http://file-thumb.mpcdn.net/21452/1/180.jpg
100,105,Dōbutsu no Oisha-san,Noriko Sasaki,Shōnen,12,1987,21.6,http://mangapark.me/manga/doubutsu-no-oishasan,http://file-thumb.mpcdn.net/18/2/180.jpg
101,106,Eyeshield 21,Riichiro Inagaki,Shōnen,37,2002,21.6,http://mangapark.me/manga/eyeshield-21,http://file-thumb.mpcdn.net/2658/1/180.jpg
102,107,Ashita no Joe,Ikki Kajiwara,Shōnen,20,1968,20.0,http://mangapark.me/manga/ashita-no-joe,http://file-thumb.mpcdn.net/890/1/180.jpg
103,108,Assassination Classroom,Yūsei Matsui,Shōnen,21,2012,20.0,http://mangapark.me/manga/assassination-classroom,http://file-thumb.mpcdn.net/11975/17/180.jpg
104,109,Gantz,Hiroya Oku,Seinen,37,2000,20.0,http://mangapark.me/manga/gantz,http://file-thumb.mpcdn.net/2982/3/180.jpg
105,110,Ginga Legend Weed,Yoshihiro Takahashi,Seinen,90,1999,20.0,http://mangapark.me/manga/ginga-legend-weed,http://file-thumb.mpcdn.net/38213/1/180.jpg
106,111,Hell Teacher Nūbē,Shō Makura,Shōnen,31,1993,20.0,http://mangapark.me/manga/hell-teacher-nube,http://file-thumb.mpcdn.net/13973/3/180.jpg
107,112,Kaiji,Nobuyuki Fukumoto,Seinen,49,1996,20.0,http://mangapark.me/manga/kaiji,http://file-thumb.mpcdn.net/4566/1/180.jpg
108,113,Kimagure Orange Road,Izumi Matsumoto,Shōnen,18,1984,20.0,http://mangapark.me/manga/kimagure-orange-road,http://file-thumb.mpcdn.net/4935/1/180.jpg
109,114,Kimi ni Todoke,Karuho Shiina,Shōjo,23,2005,20.0,http://mangapark.me/manga/kimi-ni-todoke,http://file-thumb.mpcdn.net/4974/9/180.jpg
110,115,Magi: The Labyrinth of Magic,Shinobu Ohtaka,Shōnen,32,2009,20.0,http://mangapark.me/manga/magi-the-labyrinth-of-magic,http://file-thumb.mpcdn.net/30870/1/180.jpg
111,116,Monster,Naoki Urasawa,Seinen,18,1994,20.0,http://mangapark.me/manga/monster,http://file-thumb.mpcdn.net/6588/1/180.jpg
112,117,Negima! Magister Negi Magi,Ken Akamatsu,Shōnen,38,2003,20.0,http://mangapark.me/manga/mahou-sensei-negima,http://file-thumb.mpcdn.net/6033/3/180.jpg
113,118,Oh My Goddess!,Kōsuke Fujishima,Seinen,48,1988,20.0,http://mangapark.me/manga/oh-my-goddess,http://file-thumb.mpcdn.net/357/3/180.jpg
114,119,Shounen Ashibe,Hiromi Morishita,Seinen,8,1988,20.0,http://mangapark.me/manga/shonen-ashibe-go-go-goma-chan-hiromi-morishita,http://file-thumb.mpcdn.net/40616/1/180.jpg
115,120,The Rose of Versailles,Riyoko Ikeda,Shōjo,10,1972,20.0,http://mangapark.me/manga/the-rose-of-versailles,http://file-thumb.mpcdn.net/10863/2/180.jpg
116,121,The Seven Deadly Sins,Nakaba Suzuki,Shōnen,24,2012,20.0,http://mangapark.me/manga/the-seven-deadly-sins,http://file-thumb.mpcdn.net/23093/2/180.jpg
117,122,Sukeban Deka,Shinji Wada,Shōjo,22,1976,20.0,http://mangapark.me/manga/sukeban-deka,http://file-thumb.mpcdn.net/22220/1/180.jpg
118,123,Tokyo Daigaku Monogatari,Tatsuya Egawa,Seinen,34,1992,20.0,http://mangapark.me/manga/tokyo-daigaku-monogatari,http://static.mangapark.me/img/no-cover.jpg
119,124,Tokyo Ghoul,Sui Ishida,Seinen,23,2011,20.0,http://mangapark.me/manga/tokyo-ghoul,http://file-thumb.mpcdn.net/23559/20/180.jpg
120,125,Toriko,Mitsutoshi Shimabukuro,Shōnen,43,2008,20.0,http://mangapark.me/manga/toriko,http://file-thumb.mpcdn.net/10387/19/180.jpg
121,126,Tsubasa: Reservoir Chronicle,Clamp,Shōnen,28,2003,20.0,http://mangapark.me/manga/tsubasa-reservoir-chronicle,http://file-thumb.mpcdn.net/10518/1/180.jpg
